yearmonth,brand,sales_without_coupons,sales_monto_with_coupons
18,3,16.41464,0.0
18,8,43.8351,1.8873
18,8,71.89322,0.0
17,7,11.16268,0.0
18,7,42.95738,0.0
17,5,1.97085,0.0
1,1,0.0,0.0
16,4,0.6972100000000001,0.0
15,7,18.01132,0.0
16,5,14.23452,0.0
16,3,7.161499999999999,0.0
18,6,41.82764,0.0
10,7,11.140419999999999,0.0
2,3,0.10028,0.0
18,8,23.01542,0.0946
2,2,0.57336,0.0
18,8,1265.50622,0.0
17,8,10.85518,0.0
12,4,5.34914,0.0
17,7,13.60602,0.0
13,4,7.56502,0.0
15,7,20.96648,30.266640000000002
17,1,2.8899999999999997,0.0
18,5,28.84276,0.0
15,6,24.98834,0.0
17,6,11.835759999999999,0.0
18,7,95.97955,0.0
18,7,42.942679999999996,0.0
15,7,351.01408000000004,12.91218
2,1,0.03518,0.0
4,4,0.1949199999999999,0.0
18,8,125.31972999999999,0.0
10,6,4.492319999999999,0.0
18,4,30.48788,0.0
10,4,2.0869400000000002,0.0
1,1,0.01892,0.0
16,5,1.64276,0.0
13,5,15.097,0.0
18,8,310.97298,25.500360000000004
17,8,44.63604,15.08794
17,3,1.94058,0.0
14,6,4.52294,0.0
18,8,115.85934,0.0
17,8,5.245299999999999,0.0984
15,3,22.847099999999998,0.0
12,4,56.798339999999996,0.0
1,1,0.02838,0.0
18,8,8.15968,0.0
17,8,24.54364,0.0
1,2,0.0,0.0
15,6,16.785539999999997,0.0
18,8,93.89997,0.4032
18,8,28.42843,0.0
2,4,73.70400000000001,0.0
4,1,1.54704,0.0
18,8,77.5917,0.0
17,7,114.75828,0.0
18,8,121.49277,0.0
15,4,21.61074,0.0
18,8,23.436239999999998,0.0
2,1,0.08136,0.0
18,8,117.76424,0.0
9,6,22.08904,0.0
18,8,36.48482,3.0974999999999997
18,6,58.41836,0.0
12,6,15.785879999999999,0.0
5,6,0.22516,0.0
10,4,0.74637,0.0
1,1,0.0246,0.0
18,8,18.198059999999998,0.0
18,8,68.74528,0.0
16,7,22.68471,0.0
10,6,5.047619999999999,0.0
17,8,10.682279999999999,0.0
18,7,44.38596,3.0506399999999996
13,7,14.6326,0.0
18,7,50.84643,0.0
18,8,22.33775,0.0
18,8,176.28152,0.0
7,6,9.193859999999999,0.0
17,8,46.238479999999996,0.0
4,3,2.38652,0.0
15,6,19.3497,0.0
8,4,5.6825399999999995,0.0
16,8,10.74026,0.0
6,2,0.22704,0.0
15,8,44.77194,0.0
18,7,30.89544,0.0
18,8,77.86791,0.0
1,1,0.0395999999999999,0.0
18,8,90.63654,0.0
11,6,1.0642,0.0
16,5,6.9126199999999995,0.0
10,1,0.68112,0.0
2,2,1.7595599999999998,0.0
18,8,81.52882,0.0
10,3,2.5203800000000003,0.0
15,8,26.83956,0.0
18,6,27.16192,0.0
14,5,25.66712,0.0
18,8,51.46972,0.0
18,8,44.57992,3.1953199999999997
7,6,5.83652,0.0
3,4,0.17028,0.0
14,2,0.37894,0.0
15,7,4.53536,0.0
18,8,93.8673,0.0
17,8,35.17772,0.79464
18,7,105.72662,18.18168
16,6,78.25358,0.0
18,8,37.649480000000004,0.0
15,7,8.3844,0.0
18,8,100.72639,0.0
13,6,39.29152,0.0
18,8,54.91473,39.77366
6,5,0.61762,0.0
6,8,19.97053,0.0
18,7,106.21433999999999,17.46216
2,1,0.08514,0.0
18,8,16.06567,0.0
15,7,14.94696,0.0
3,6,10.67754,0.0
18,8,257.4999,0.0
