age,gender,education_level,marital_status,credit_score,loan_status,new_occupation,new_income
32,1,1,0,720,1,4,5
45,0,4,1,680,1,3,4
28,1,3,1,590,0,3,0
51,0,1,0,780,1,0,5
36,1,1,0,710,1,0,5
24,0,0,1,640,0,6,2
42,1,2,0,790,1,9,5
29,0,1,1,620,0,2,1
37,1,4,0,750,1,7,5
48,0,2,0,820,1,6,5
55,1,4,0,770,1,0,5
31,0,1,1,690,1,7,4
26,1,3,1,610,0,10,2
39,0,1,0,730,1,10,5
44,1,4,0,760,1,1,5
27,0,1,1,650,0,1,3
34,1,1,0,740,1,4,5
41,0,2,0,800,1,6,5
30,1,4,1,700,1,8,5
53,0,2,0,790,1,3,5
38,1,1,0,720,1,11,5
25,0,3,1,580,0,0,1
46,1,4,0,780,1,0,5
33,0,1,1,630,0,8,2
40,1,0,0,690,1,5,4
28,0,2,1,710,1,6,5
35,1,1,0,700,1,10,5
43,0,4,0,750,1,7,5
31,1,3,1,670,1,1,3
49,0,1,0,720,1,0,4
27,1,0,1,600,0,2,2
54,0,4,0,760,1,8,5
32,1,1,0,780,1,7,5
47,0,2,0,810,1,6,5
29,1,1,1,570,0,2,1
52,0,2,0,800,1,6,5
35,1,4,0,770,1,4,5
26,0,3,1,560,0,5,0
40,1,1,0,740,1,7,5
33,0,0,1,620,0,2,2
38,1,1,0,730,1,0,5
30,0,4,1,670,1,3,3
45,1,1,0,790,1,0,5
28,0,0,1,660,0,6,3
42,1,2,0,800,1,9,5
36,0,4,0,740,1,4,5
31,1,1,1,680,1,7,4
48,0,2,0,830,1,6,5
34,1,1,0,720,1,7,5
27,0,1,1,600,0,2,1
41,1,4,0,760,1,0,5
29,0,1,1,640,0,1,2
37,1,1,0,750,1,4,5
44,0,4,0,740,1,10,5
32,1,3,1,630,0,10,2
50,0,2,0,810,1,3,5
39,1,4,0,770,1,1,5
25,0,3,1,570,0,0,1
43,1,1,0,760,1,0,5
30,0,4,1,650,1,8,3
38,1,0,0,700,1,5,4
